capteur_1_t1,capteur_2_t1,capteur_3_t1,capteur_4_t1,capteur_5_t1,capteur_6_t1,capteur_1_t2,capteur_2_t2,capteur_3_t2,capteur_4_t2,capteur_5_t2,capteur_6_t2,capteur_1_t3,capteur_2_t3,capteur_3_t3,capteur_4_t3,capteur_5_t3,capteur_6_t3,capteur_1_t4,capteur_2_t4,capteur_3_t4,capteur_4_t4,capteur_5_t4,capteur_6_t4,capteur_1_t5,capteur_2_t5,capteur_3_t5,capteur_4_t5,capteur_5_t5,capteur_6_t5,classe
37.0,48.0,54.0,32.0,44.0,37.0,21.0,40.0,29.0,35.0,39.0,24.0,30.0,53.0,37.0,58.0,40.0,50.0,45.0,36.0,48.0,30.0,38.0,25.0,31.0,43.0,40.0,36.0,60.0,35.0,neutre
21.0,40.0,29.0,35.0,39.0,24.0,30.0,53.0,37.0,58.0,40.0,50.0,45.0,36.0,48.0,30.0,38.0,25.0,31.0,43.0,40.0,36.0,60.0,35.0,56.0,47.0,31.0,49.0,39.0,37.0,neutre
30.0,53.0,37.0,58.0,40.0,50.0,45.0,36.0,48.0,30.0,38.0,25.0,31.0,43.0,40.0,36.0,60.0,35.0,56.0,47.0,31.0,49.0,39.0,37.0,53.0,45.0,31.0,38.0,42.0,36.0,neutre
45.0,36.0,48.0,30.0,38.0,25.0,31.0,43.0,40.0,36.0,60.0,35.0,56.0,47.0,31.0,49.0,39.0,37.0,53.0,45.0,31.0,38.0,42.0,36.0,76.0,47.0,53.0,27.0,44.0,39.0,neutre
31.0,43.0,40.0,36.0,60.0,35.0,56.0,47.0,31.0,49.0,39.0,37.0,53.0,45.0,31.0,38.0,42.0,36.0,76.0,47.0,53.0,27.0,44.0,39.0,54.0,58.0,29.0,49.0,39.0,48.0,neutre
56.0,47.0,31.0,49.0,39.0,37.0,53.0,45.0,31.0,38.0,42.0,36.0,76.0,47.0,53.0,27.0,44.0,39.0,54.0,58.0,29.0,49.0,39.0,48.0,59.0,60.0,25.0,29.0,53.0,51.0,neutre
53.0,45.0,31.0,38.0,42.0,36.0,76.0,47.0,53.0,27.0,44.0,39.0,54.0,58.0,29.0,49.0,39.0,48.0,59.0,60.0,25.0,29.0,53.0,51.0,61.0,52.0,32.0,26.0,37.0,50.0,neutre
76.0,47.0,53.0,27.0,44.0,39.0,54.0,58.0,29.0,49.0,39.0,48.0,59.0,60.0,25.0,29.0,53.0,51.0,61.0,52.0,32.0,26.0,37.0,50.0,79.0,62.0,36.0,64.0,51.0,47.0,neutre
54.0,58.0,29.0,49.0,39.0,48.0,59.0,60.0,25.0,29.0,53.0,51.0,61.0,52.0,32.0,26.0,37.0,50.0,79.0,62.0,36.0,64.0,51.0,47.0,31.0,27.0,53.0,38.0,27.0,51.0,neutre
59.0,60.0,25.0,29.0,53.0,51.0,61.0,52.0,32.0,26.0,37.0,50.0,79.0,62.0,36.0,64.0,51.0,47.0,31.0,27.0,53.0,38.0,27.0,51.0,83.0,77.0,52.0,55.0,57.0,44.0,neutre
