capteur_1,capteur_2,classe
28.0,25.0,0
33.0,31.0,0
31.0,24.0,0
28.0,24.0,0
30.0,31.0,0
24.0,18.0,0
25.0,25.0,0
28.0,27.0,0
26.0,31.0,0
28.0,27.0,0
30.0,26.0,0
30.0,28.0,0
29.0,28.0,0
29.0,28.0,0
26.0,27.0,0
30.0,29.0,0
31.0,29.0,0
28.0,24.0,0
29.0,29.0,0
27.0,27.0,0
28.0,21.0,0
27.0,27.0,0
26.0,28.0,0
26.0,27.0,0
30.0,27.0,0
28.0,27.0,0
28.0,29.0,0
29.0,28.0,0
29.0,29.0,0
26.0,25.0,0
28.0,28.0,0
28.0,27.0,0
30.0,29.0,0
31.0,26.0,0
28.0,27.0,0
27.0,28.0,0
29.0,27.0,0
28.0,29.0,0
29.0,26.0,0
28.0,29.0,0
30.0,25.0,0
28.0,22.0,0
29.0,29.0,0
28.0,30.0,0
32.0,32.0,0
29.0,32.0,0
26.0,30.0,0
28.0,30.0,0
29.0,30.0,0
28.0,31.0,0
28.0,26.0,0
27.0,28.0,0
32.0,29.0,0
30.0,28.0,0
28.0,23.0,0
28.0,27.0,0
28.0,28.0,0
28.0,34.0,0
27.0,29.0,0
29.0,26.0,0
28.0,31.0,0
28.0,30.0,0
31.0,35.0,0
28.0,27.0,0
28.0,27.0,0
29.0,26.0,0
30.0,28.0,0
28.0,30.0,0
27.0,27.0,0
28.0,27.0,0
28.0,26.0,0
27.0,29.0,0
27.0,31.0,0
27.0,28.0,0
30.0,27.0,0
29.0,26.0,0
28.0,29.0,0
29.0,26.0,0
29.0,26.0,0
31.0,28.0,0
31.0,29.0,0
28.0,32.0,0
23.0,18.0,0
31.0,26.0,0
23.0,17.0,0
28.0,28.0,0
33.0,34.0,0
24.0,28.0,0
29.0,26.0,0
32.0,27.0,0
27.0,29.0,0
28.0,28.0,0
30.0,31.0,0
27.0,27.0,0
26.0,29.0,0
28.0,26.0,0
28.0,27.0,0
25.0,29.0,0
27.0,29.0,0
29.0,29.0,0
28.0,30.0,0
26.0,27.0,0
29.0,28.0,0
29.0,30.0,0
29.0,31.0,0
27.0,27.0,0
27.0,28.0,0
29.0,28.0,0
27.0,25.0,0
28.0,27.0,0
29.0,28.0,0
30.0,26.0,0
31.0,29.0,0
26.0,28.0,0
27.0,26.0,0
29.0,28.0,0
28.0,25.0,0
29.0,28.0,0
29.0,30.0,0
26.0,30.0,0
27.0,27.0,0
26.0,26.0,0
28.0,29.0,0
28.0,28.0,0
28.0,28.0,0
27.0,26.0,0
29.0,27.0,0
30.0,24.0,0
28.0,29.0,0
28.0,26.0,0
29.0,28.0,0
29.0,29.0,0
28.0,28.0,0
29.0,30.0,0
28.0,30.0,0
28.0,25.0,0
28.0,27.0,0
28.0,26.0,0
27.0,30.0,0
27.0,27.0,0
30.0,27.0,0
29.0,28.0,0
33.0,25.0,0
23.0,28.0,0
29.0,28.0,0
29.0,26.0,0
29.0,27.0,0
26.0,23.0,0
25.0,28.0,0
25.0,30.0,0
27.0,28.0,0
29.0,29.0,0
26.0,27.0,0
24.0,28.0,0
29.0,30.0,0
31.0,30.0,0
27.0,29.0,0
29.0,28.0,0
28.0,26.0,0
29.0,25.0,0
30.0,27.0,0
29.0,34.0,0
29.0,29.0,0
26.0,24.0,0
26.0,28.0,0
31.0,35.0,0
24.0,27.0,0
31.0,29.0,0
27.0,28.0,0
30.0,31.0,0
26.0,25.0,0
29.0,34.0,0
25.0,28.0,0
32.0,25.0,0
29.0,27.0,0
29.0,27.0,0
28.0,27.0,0
28.0,24.0,0
27.0,28.0,0
26.0,26.0,0
30.0,27.0,0
30.0,27.0,0
29.0,26.0,0
29.0,27.0,0
28.0,26.0,0
28.0,25.0,0
27.0,27.0,0
30.0,30.0,0
29.0,27.0,0
27.0,29.0,0
26.0,29.0,0
30.0,27.0,0
28.0,26.0,0
29.0,28.0,0
30.0,27.0,0
29.0,26.0,0
28.0,36.0,0
29.0,28.0,0
31.0,27.0,0
28.0,27.0,0
29.0,29.0,0
28.0,28.0,0
30.0,33.0,0
28.0,29.0,0
27.0,31.0,0
29.0,31.0,0
26.0,30.0,0
27.0,25.0,0
30.0,30.0,0
27.0,27.0,0
28.0,26.0,0
28.0,30.0,0
30.0,29.0,0
28.0,18.0,0
30.0,30.0,0
31.0,29.0,0
30.0,28.0,0
28.0,29.0,0
28.0,30.0,0
27.0,26.0,0
28.0,29.0,0
28.0,29.0,0
28.0,27.0,0
29.0,27.0,0
27.0,29.0,0
30.0,29.0,0
29.0,26.0,0
27.0,26.0,0
25.0,31.0,0
29.0,28.0,0
30.0,27.0,0
30.0,26.0,0
27.0,27.0,0
30.0,28.0,0
30.0,28.0,0
27.0,31.0,0
28.0,29.0,0
25.0,29.0,0
28.0,28.0,0
27.0,26.0,0
26.0,28.0,0
30.0,28.0,0
29.0,29.0,0
26.0,25.0,0
27.0,29.0,0
30.0,28.0,0
29.0,30.0,0
28.0,26.0,0
32.0,28.0,0
27.0,27.0,0
32.0,32.0,0
28.0,23.0,0
29.0,29.0,0
28.0,24.0,0
27.0,26.0,0
25.0,28.0,0
23.0,28.0,0
28.0,29.0,0
28.0,29.0,0
28.0,27.0,0
26.0,28.0,0
28.0,28.0,0
29.0,25.0,0
29.0,26.0,0
29.0,29.0,0
27.0,26.0,0
25.0,29.0,0
27.0,29.0,0
27.0,26.0,0
28.0,26.0,0
30.0,26.0,0
27.0,27.0,0
28.0,31.0,0
26.0,28.0,0
28.0,27.0,0
28.0,28.0,0
30.0,29.0,0
29.0,30.0,0
29.0,24.0,0
29.0,25.0,0
27.0,29.0,0
25.0,29.0,0
27.0,30.0,0
26.0,28.0,0
29.0,30.0,0
28.0,28.0,0
28.0,25.0,0
32.0,27.0,0
28.0,28.0,0
31.0,25.0,0
28.0,33.0,0
25.0,27.0,0
28.0,29.0,0
28.0,27.0,0
30.0,29.0,0
27.0,28.0,0
28.0,26.0,0
29.0,30.0,0
28.0,27.0,0
26.0,32.0,0
29.0,29.0,0
31.0,29.0,0
30.0,29.0,0
28.0,31.0,0
29.0,24.0,0
28.0,29.0,0
32.0,27.0,0
29.0,28.0,0
29.0,26.0,0
26.0,27.0,0
27.0,31.0,0
30.0,24.0,0
30.0,27.0,0
28.0,29.0,0
28.0,28.0,0
29.0,27.0,0
26.0,29.0,0
34.0,29.0,0
28.0,28.0,0
28.0,29.0,0
31.0,26.0,0
29.0,27.0,0
27.0,27.0,0
28.0,25.0,0
28.0,24.0,0
29.0,28.0,0
30.0,26.0,0
27.0,33.0,0
30.0,26.0,0
31.0,30.0,0
28.0,26.0,0
28.0,24.0,0
28.0,27.0,0
26.0,30.0,0
25.0,28.0,0
29.0,28.0,0
28.0,26.0,0
29.0,34.0,0
28.0,29.0,0
