capteur_1_t1,capteur_2_t1,capteur_3_t1,capteur_4_t1,capteur_5_t1,capteur_6_t1,classe
490,256,335,0,0,446,Standard
490,255,334,0,0,446,Standard
491,255,334,0,0,446,Standard
489,256,335,0,0,445,Standard
490,256,334,0,0,444,Standard
485,252,336,0,0,446,Standard
489,256,335,0,0,446,Standard
491,255,334,0,0,447,Standard
491,256,335,0,0,447,Standard
491,256,334,0,0,446,Standard
490,254,334,0,0,447,Standard
491,256,333,0,0,447,Standard
491,255,334,0,0,445,Standard
490,255,334,0,0,446,Standard
490,256,334,0,0,447,Standard
491,255,332,0,0,444,Standard
490,255,334,0,0,445,Standard
489,255,334,0,0,445,Standard
490,255,333,0,0,446,Standard
490,256,333,0,0,446,Standard
489,256,334,0,0,445,Standard
488,254,334,0,0,446,Standard
490,255,334,0,0,446,Standard
490,255,333,0,0,446,Standard
490,256,334,0,0,446,Standard
490,254,330,0,0,445,Standard
489,255,334,0,0,446,Standard
490,255,334,0,0,445,Standard
490,254,334,0,0,446,Standard
490,254,335,0,0,446,Standard
490,254,333,0,0,445,Standard
490,256,334,0,0,446,Standard
491,256,334,0,0,445,Standard
491,255,334,0,0,445,Standard
490,255,334,0,0,445,Standard
491,255,333,0,0,441,Standard
485,253,335,0,0,445,Standard
490,255,333,0,0,446,Standard
490,256,334,0,0,446,Standard
491,256,333,0,0,446,Standard
490,256,334,0,0,445,Standard
491,255,334,0,0,444,Standard
490,255,333,0,0,446,Standard
491,256,334,0,0,446,Standard
490,255,334,0,0,445,Standard
491,256,333,0,0,441,Standard
487,255,334,0,0,446,Standard
491,255,334,0,0,446,Standard
491,255,335,0,0,446,Standard
490,255,334,0,0,445,Standard
491,255,335,0,0,445,Standard
491,255,334,0,0,445,Standard
491,256,334,0,0,445,Standard
491,256,335,0,0,445,Standard
491,256,335,0,0,445,Standard
491,256,335,0,0,445,Standard
491,254,331,0,0,446,Standard
490,256,334,0,0,446,Standard
491,256,334,0,0,441,Standard
491,255,334,0,0,445,Standard
491,255,333,0,0,445,Standard
490,256,333,0,0,445,Standard
490,256,333,0,0,445,Standard
491,256,334,0,0,432,Standard
496,253,330,0,0,443,Standard
489,256,317,0,0,453,Standard
491,245,303,0,0,459,Standard
496,257,261,0,0,467,Standard
502,257,268,0,0,444,Standard
523,259,261,0,0,439,Standard
499,218,291,0,0,465,Standard
493,218,289,0,0,477,Standard
481,229,305,0,0,464,Standard
476,227,282,0,0,400,Standard
523,255,246,0,0,327,Standard
537,265,258,0,0,384,Standard
509,243,295,0,0,399,Standard
500,239,305,0,0,421,Standard
511,224,262,0,0,438,Standard
539,154,304,0,0,432,Standard
540,112,325,0,0,449,Standard
537,94,327,0,0,453,Standard
535,107,316,0,0,471,Standard
552,91,304,0,0,479,Standard
554,84,299,0,0,462,Standard
563,128,243,0,0,449,Standard
581,97,233,0,0,448,Standard
551,139,250,0,0,449,Standard
567,83,277,0,0,450,Standard
573,80,285,0,0,455,Standard
566,70,293,0,0,450,Standard
563,62,320,0,0,387,Standard
590,129,273,0,0,287,Standard
588,249,251,0,0,285,Standard
564,239,272,0,0,349,Standard
539,155,304,0,0,426,Standard
531,3,335,0,0,430,Standard
545,0,352,0,0,404,Standard
539,0,373,0,0,405,Standard
530,0,402,0,0,408,Standard
511,0,447,0,0,389,Standard
506,21,396,0,0,359,Standard
540,86,313,0,0,322,Standard
575,122,235,15,0,276,Standard
592,179,200,23,0,147,Standard
634,223,208,21,0,182,Standard
592,68,249,2,0,349,Standard
541,0,353,16,0,369,Standard
528,0,381,16,0,368,Standard
532,0,386,10,0,352,Standard
531,0,388,0,0,351,Standard
542,0,400,0,0,351,Standard
567,40,305,0,0,304,Standard
621,114,203,0,0,213,Standard
649,128,198,0,0,239,Standard
641,127,201,0,0,283,Standard
601,84,226,0,0,370,Standard
551,0,318,0,0,406,Standard
523,0,384,0,0,432,Standard
496,0,425,1,0,438,Standard
479,0,448,3,0,439,Standard
475,0,463,0,0,445,Standard
465,0,464,0,0,453,Standard
465,0,496,0,0,454,Standard
475,0,486,0,0,438,Standard
490,0,447,0,0,433,Standard
523,0,368,0,0,410,Standard
553,0,328,0,0,418,Standard
547,0,331,0,0,438,Standard
557,0,302,0,0,416,Standard
571,7,245,0,0,381,Standard
576,53,234,0,0,323,Standard
583,84,228,0,0,368,Standard
576,0,301,0,0,432,Standard
531,0,389,0,0,454,Standard
509,0,448,0,0,459,Standard
497,0,461,0,0,460,Standard
503,0,448,0,0,431,Standard
499,0,452,0,0,432,Standard
490,0,477,0,0,450,Standard
496,0,505,0,0,465,Standard
483,0,522,0,0,479,Standard
490,0,481,0,0,448,Standard
497,0,464,0,0,427,Standard
511,0,451,0,0,415,Standard
509,0,442,0,0,415,Standard
511,0,448,0,0,402,Standard
511,0,452,0,0,405,Standard
509,0,452,0,0,412,Standard
510,0,456,0,0,421,Standard
506,0,452,0,0,418,Standard
503,0,464,0,0,417,Standard
500,0,475,0,0,426,Standard
497,0,477,0,0,422,Standard
496,0,483,0,0,432,Standard
494,0,496,0,0,435,Standard
496,0,499,0,0,433,Standard
487,0,511,0,0,432,Standard
477,0,511,0,0,432,Standard
478,0,525,0,0,434,Standard
475,0,526,0,0,434,Standard
479,0,542,0,0,455,Standard
475,0,565,0,0,471,Standard
459,0,576,0,0,511,Standard
448,0,585,0,0,542,Standard
432,0,583,0,0,539,Standard
435,0,593,0,0,463,Standard
453,0,581,0,0,427,Standard
478,0,545,0,0,412,Standard
482,0,557,0,0,427,Standard
480,0,543,0,0,447,Standard
487,0,492,0,0,461,Standard
483,0,544,0,0,464,Standard
471,0,567,0,0,469,Standard
459,0,593,0,0,494,Standard
448,0,607,0,0,496,Standard
443,0,613,0,0,500,Standard
436,0,624,0,0,502,Standard
432,0,624,0,0,510,Standard
430,0,643,0,0,508,Standard
419,0,657,0,0,496,Standard
425,0,669,0,0,490,Standard
430,0,666,0,0,489,Standard
431,0,673,0,0,489,Standard
431,0,675,0,0,496,Standard
426,0,674,0,0,507,Standard
417,0,685,0,0,516,Standard
412,0,688,0,0,532,Standard
408,0,692,0,0,539,Standard
406,0,700,0,0,553,Standard
402,0,704,0,0,551,Standard
401,0,700,0,0,560,Standard
401,0,704,0,0,560,Standard
406,0,698,0,0,561,Standard
416,0,688,0,0,556,Standard
427,0,665,0,0,563,Standard
426,0,656,0,0,581,Standard
426,0,630,0,0,587,Standard
432,0,601,0,0,585,Standard
434,0,596,0,0,599,Standard
440,0,592,0,0,602,Standard
438,0,579,0,0,619,Standard
434,0,592,0,0,619,Standard
429,0,597,0,0,609,Standard
432,0,607,0,0,592,Standard
432,0,599,0,0,595,Standard
432,0,592,0,0,594,Standard
432,0,581,0,0,597,Standard
433,0,587,0,0,592,Standard
429,0,582,0,0,605,Standard
433,0,580,0,0,606,Standard
431,0,578,0,0,606,Standard
429,0,587,0,0,610,Standard
426,0,588,0,0,592,Standard
431,0,586,0,0,561,Standard
447,0,573,0,0,505,Standard
461,0,560,0,0,483,Standard
467,0,547,0,0,467,Standard
475,0,531,0,0,443,Standard
475,0,511,0,0,431,Standard
482,0,485,0,0,417,Standard
483,0,481,0,0,409,Standard
487,16,466,0,0,400,Standard
493,4,464,0,0,386,Standard
494,6,463,0,0,396,Standard
497,0,467,0,0,385,Standard
501,0,482,0,0,382,Standard
504,0,499,0,0,382,Standard
502,0,503,0,0,381,Standard
507,0,511,0,0,373,Standard
509,0,528,0,0,375,Standard
503,0,544,0,0,388,Standard
502,0,564,0,0,386,Standard
494,0,574,0,0,393,Standard
490,0,570,0,0,395,Standard
493,0,558,0,0,400,Standard
487,0,560,0,0,423,Standard
478,0,526,0,0,468,Standard
470,0,533,0,0,511,Standard
460,0,551,0,0,546,Standard
442,0,571,0,0,554,Standard
437,0,579,0,0,559,Standard
437,0,586,0,0,554,Standard
438,0,575,0,0,523,Standard
440,0,566,0,0,508,Standard
450,0,543,0,0,509,Standard
457,0,556,0,0,511,Standard
443,0,573,0,0,535,Standard
450,0,564,0,0,528,Standard
439,0,541,0,0,503,Standard
446,0,511,0,0,523,Standard
454,0,496,0,0,510,Standard
454,0,466,0,0,508,Standard
473,0,435,0,0,509,Standard
491,0,411,0,0,509,Standard
493,0,415,0,0,511,Standard
491,0,432,0,0,499,Standard
482,0,415,0,0,473,Standard
496,8,363,0,0,446,Standard
511,18,331,0,0,423,Standard
524,80,310,0,0,413,Standard
533,103,290,0,0,403,Standard
538,112,271,0,0,390,Standard
548,123,269,0,0,384,Standard
538,142,274,0,0,379,Standard
535,136,288,0,0,372,Standard
530,141,302,0,0,368,Standard
535,146,304,0,0,356,Standard
532,157,313,0,0,350,Standard
541,144,316,0,0,351,Standard
539,117,331,0,0,355,Standard
538,108,356,0,0,356,Standard
531,23,389,0,0,394,Standard
543,0,416,0,0,396,Standard
523,0,442,0,0,412,Standard
509,0,464,0,0,423,Standard
496,0,464,0,0,426,Standard
492,0,463,0,0,432,Standard
497,0,410,0,0,446,Standard
498,22,400,0,0,462,Standard
498,20,384,0,0,471,Standard
498,3,372,0,0,492,Standard
497,36,365,0,0,503,Standard
496,4,368,0,0,534,Standard
498,0,370,0,0,511,Standard
493,16,363,0,0,496,Standard
496,13,363,0,0,451,Standard
511,3,344,0,0,418,Standard
526,78,321,0,0,401,Standard
545,75,307,0,0,399,Standard
544,124,294,0,0,400,Standard
545,147,289,0,0,397,Standard
533,160,273,0,0,388,Standard
541,162,272,0,0,367,Standard
543,179,273,0,0,363,Standard
543,183,287,0,0,355,Standard
541,183,294,0,0,344,Standard
548,190,304,0,0,334,Standard
544,174,320,0,0,330,Standard
541,151,338,0,0,329,Standard
537,149,360,0,0,332,Standard
535,144,369,0,0,336,Standard
528,134,374,0,0,331,Standard
530,0,421,7,0,363,Standard
534,0,406,5,0,340,Standard
509,38,417,0,0,365,Standard
511,47,414,0,0,377,Standard
509,60,417,0,0,404,Standard
501,72,403,0,0,427,Standard
511,47,391,0,0,437,Standard
521,25,387,0,0,441,Standard
511,21,385,0,0,453,Standard
511,39,370,0,0,464,Standard
511,54,370,0,0,467,Standard
511,51,373,0,0,478,Standard
507,62,366,0,0,479,Standard
511,49,351,0,0,439,Standard
528,93,322,0,0,404,Standard
528,128,318,0,0,403,Standard
533,144,306,0,0,400,Standard
529,155,299,0,0,406,Standard
527,149,305,0,0,415,Standard
511,144,324,0,0,411,Standard
508,131,345,0,0,401,Standard
508,119,374,0,0,404,Standard
501,80,403,0,0,384,Standard
503,80,438,0,0,375,Standard
505,48,465,0,0,362,Standard
511,0,502,0,0,365,Standard
528,0,541,0,0,355,Standard
506,0,511,0,0,344,Standard
511,33,467,0,0,338,Standard
529,0,448,0,0,350,Standard
558,0,437,0,0,337,Standard
531,30,449,7,0,336,Standard
526,33,450,1,0,346,Standard
527,51,461,0,0,347,Standard
527,38,471,6,0,355,Standard
525,0,484,2,0,355,Standard
511,16,494,0,0,357,Standard
503,27,499,0,0,368,Standard
503,16,503,0,0,399,Standard
499,21,496,0,0,416,Standard
490,14,496,0,0,437,Standard
496,0,499,0,0,458,Standard
496,0,496,0,0,463,Standard
483,0,490,0,0,464,Standard
493,0,478,0,0,464,Standard
494,15,448,0,0,467,Standard
501,13,420,0,0,432,Standard
497,57,403,0,0,433,Standard
502,44,413,0,0,415,Standard
497,77,431,0,0,427,Standard
493,70,448,0,0,440,Standard
492,6,479,0,0,461,Standard
478,0,499,0,0,478,Standard
479,0,529,0,0,464,Standard
464,0,543,0,0,451,Standard
473,0,560,0,0,447,Standard
478,0,576,0,0,448,Standard
482,0,585,0,0,441,Standard
477,0,591,0,0,436,Standard
471,0,606,3,0,435,Standard
464,0,640,0,0,432,Standard
450,0,656,14,0,432,Standard
445,0,659,26,0,446,Standard
460,0,620,1,0,447,Standard
466,0,592,9,0,452,Standard
470,0,580,0,0,443,Standard
470,0,582,0,0,441,Standard
464,0,605,0,0,435,Standard
460,0,637,0,0,427,Standard
450,0,650,0,0,431,Standard
